country,region
Afghanistan,Asia
Afrique du Sud,Africa
Albanie,Europe
Algérie,Africa
Allemagne,Europe
Angola,Africa
Arabie saoudite,Asia
Argentine,South America
Arménie,Asia
Australie,Oceania
Autriche,Europe
Azerbaïdjan,Asia
Bahamas,North America
Bahreïn,Asia
Bangladesh,Asia
Belgique,Europe
Belize,North America
Bénin,Africa
Bolivie,South America
Bosnie-Herzégovine,Europe
Botswana,Africa
Brésil,South America
Bulgarie,Europe
Burkina Faso,Africa
Cambodge,Asia
Cameroun,Africa
Canada,North America
Chili,South America
Chine,Asia
Chypre,Europe
Colombie,South America
Corée du Sud,Asia
Costa Rica,North America
Croatie,Europe
Cuba,North America
Danemark,Europe
Djibouti,Africa
Dominique,North America
Égypte,Africa
Émirats arabes unis,Asia
Équateur,South America
Espagne,Europe
Estonie,Europe
États-Unis,North America
Éthiopie,Africa
Finlande,Europe
France,Europe
Gabon,Africa
Géorgie,Asia
Ghana,Africa
Grèce,Europe
Guatemala,North America
Guinée,Africa
Haïti,North America
Honduras,North America
Hong Kong,Asia
Hongrie,Europe
Inde,Asia
Indonésie,Asia
Irak,Asia
Iran,Asia
Irlande,Europe
Islande,Europe
Israël,Asia
Italie,Europe
Jamaïque,North America
Japon,Asia
Jordanie,Asia
Kazakhstan,Asia
Kenya,Africa
Koweït,Asia
Laos,Asia
Lettonie,Europe
Liban,Asia
Libye,Africa
Lituanie,Europe
Luxembourg,Europe
Macédoine du Nord,Europe
Madagascar,Africa
Malaisie,Asia
Malte,Europe
Maroc,Africa
Maurice,Africa
Mexique,North America
Moldavie,Europe
Monaco,Europe
Mongolie,Asia
Monténégro,Europe
Mozambique,Africa
Namibie,Africa
Népal,Asia
Nicaragua,North America
Nigéria,Africa
Norvège,Europe
Nouvelle-Zélande,Oceania
Oman,Asia
Ouganda,Africa
Ouzbékistan,Asia
Pakistan,Asia
Panama,North America
Paraguay,South America
Pays-Bas,Europe
Pérou,South America
Philippines,Asia
Pologne,Europe
Portugal,Europe
Qatar,Asia
République dominicaine,North America
République tchèque,Europe
Roumanie,Europe
Royaume-Uni,Europe
Russie,Europe
Rwanda,Africa
Sénégal,Africa
Serbie,Europe
Singapour,Asia
Slovaquie,Europe
Slovénie,Europe
Somalie,Africa
Sri Lanka,Asia
Suède,Europe
Suisse,Europe
Taïwan,Asia
Tanzanie,Africa
Thaïlande,Asia
Tunisie,Africa
Turquie,Europe
Ukraine,Europe
Uruguay,South America
Venezuela,South America
Vietnam,Asia
Yémen,Asia
Zambie,Africa
Zimbabwe,Africa
Réunion,Europe
Guadeloupe,Europe
Martinique,Europe
Guyane française,South America
Curaçao,North America
Bermudes,North America
Îles Caïmans,North America
Îles Vierges britanniques,North America
Macao,Asia
Palestine,Asia
Kosovo,Europe
Porto Rico,North America
Territoire britannique de l'océan Indien,Asia
Îles Cocos,Oceania
Timor oriental,Asia
Île de Man,Europe
Guernesey,Europe
Svalbard et ile Jan Mayen,Europe
Îles Féroé,Europe
Maldives,Asia
Polynésie française,Oceania
Corée du Nord,Asia
Bhoutan,Asia
Papouasie-Nouvelle-Guinée,Oceania
Saint-Marin,Europe
Kirghizistan,Asia
Birmanie,Asia
Trinité-et-Tobago,North America
Aruba,North America
Îles Turques-et-Caïques,North America
Fidji,Oceania
Biélorussie,Europe
Turkménistan,Asia
Syrie,Asia
Soudan,Africa
Guyana,South America
Suriname,South America
Côte d'Ivoire,Africa
Tonga,Oceania
Brunei,Asia
Saint-Vincent-et-les-Grenadines,North America
République démocratique du Congo,Africa
Gambie,Africa
Mauritanie,Africa
République du Congo,Africa
Seychelles,Africa
République centrafricaine,Africa
Îles Salomon,Oceania
Anguilla,North America
Kiribati,Oceania
Guinée équatoriale,Africa
Tadjikistan,Asia
Vanuatu,Oceania
Samoa,Oceania
Cap-Vert,Africa
Eswatini,Africa
Antigua-et-Barbuda,North America
Togo,Africa
Malawi,Africa
Mali,Africa
Nigeria,Africa
